title,game_id,name_jp,name_kana,name_ro,name_tcn,name_scn,name_hkjc,name_kr,epithet,image_main,image_race,image_proto,image_stage,nicknames,birthday,class,dorm,roommate,height,threesizes,shoesize,weight,calls_self,calls_trainer,seiyuu,icon,color_main,color_sub,irl_page,emoji,partydash_page,1,media
Admire_Groove,1118,アドマイヤグルーヴ,,,愛慕律動,,,,,Admire Groove (Main).png,Admire Groove (Race).png,,,,2021-04-30,,,,165,B88 W57 H84,,A stunning finish,,,,Admire Groove (Icon).png,344d99,5cbac8,IRL:Admire Groove,,,,
Admire_Vega,1033,アドマイヤベガ,,Adomaiya Bega,愛慕織姬,,,,The Glittering Brightest Star,Admire Vega (Main).png,Admire Vega (Race).png,Admire Vega (Proto).png,Admire Vega (Stage).png,アヤベ (Ayabe),1996-03-12,High School,Ritto,Curren Chan,157,B85 W57 H82,23cm,No change,私 (Watashi),トレーナー (Trainer),[[Hitomi Sasaki]],Admire Vega (Icon).png,3865A1,78D5E1,IRL:Admire Vega,,,,
Agnes_Digital,1019,アグネスデジタル,,Agunesu Dejitaru,愛麗數碼,,,,Almighty Otaku,Agnes Digital (Main).png,Agnes Digital (Race).png,Agnes Digital (Proto).png,Agnes Digital (Stage).png,Digital (デジタル),1997-05-15,Middle School,Ritto,Agnes Tachyon,143,B74 W51 H75,21.5cm,No change,デジたん (Digi-tan),トレーナーさん (Trainer-san),[[Minori Suzuki]],Agnes Digital (Icon).png,F37F96,F9F189,IRL:Agnes Digital,🎀,,,
Agnes_Tachyon,1032,アグネスタキオン,,agunesu takion,愛麗速子,,,,Princess of Superluminal Speed,Agnes Tachyon (Main).png,Agnes Tachyon (Race).png,Agnes Tachyon (Proto).png,Agnes Tachyon (Stage).png,Tachyon<br>,1998-04-13,High School,Ritto,Agnes Digital,159,B83 W55 H81,22.5cm,Refused measurement,私 (Watashi),モルモット (Guinea Pig),[[Sumire Uesaka]],Agnes Tachyon (Icon).png,35B2B6,E2E868,IRL:Agnes Tachyon,🥼,Party Dash:Agnes Tachyon,,
Air_Groove,1018,エアグルーヴ,,ea guruuvu,氣槽,,,,Empress,Air Groove (Main).png,Air Groove (Race).png,Air Groove (Proto).png,Air Groove (Stage).png,お母さん (テイオー) (Onee-chan (Teio)),1993-04-06,High School,Ritto,Fine Motion,165,B90 W57 H86,24.5cm,Amazing form,私 (Watashi),トレーナー (Trainer),[[Ruriko Aoki]],Air Groove (Icon).png,0092CB,FAE053,IRL:Air Groove,,Party Dash:Air Groove,,
Air_Messiah,1111,エアメサイア,,Ea Mesaia,空中救世主,,,,,Air Messiah (Main).png,Air Messiah (Race).png,,Air Messiah (Stage).png,,2021-02-04,,Ritto,Vivlos,162,B83 W56 H81,,,,,[[Yuna Nemoto]],Air Messiah (Icon).png,2c2f9d,fffd8c,IRL:Air Messiah,👓,,,
Air_Shakur,1036,エアシャカール,,,空中神宮,,,,A Genius Beyond the Wall,Air Shakur (Main).png,Air Shakur (Race).png,Air Shakur (Proto).png,Air Shakur (Stage).png,"シャカール (Shakur)<br>シャカ (Shaka)<br> しゃ～たん (Shatan, by Daitaku Helios)",1997-02-26,High School,Ritto,Meisho Doto,168,B77 W56 H85,"L26cm, R25.5cm",Unmeasurable,オレ (Ore),"お前, てめェ, アンタ (Omae, Temee, Anta)",[[Minami Tsuda]],Air Shakur (Icon).png,2459B4,E1E000,IRL:Air Shakur,💻,,,
Almond_Eye,1129,アーモンドアイ,,Aamondo Ai,杏目,,,,,Almond Eye (Main).png,Almond Eye (Race).png,,,,2021-03-10,,,,163,B86 W57 H81,,,,,[[Kaori Ishihara]],Almond Eye (Icon).png,69a9e9,cc3300,IRL:Almond Eye,👀,,,
Aston_Machan,1087,アストンマーチャン,,Asuton Maachan,奧斯頓真弓,真弓快车,真弓快車,애스턴 마짱,Immortal Machan,Aston Machan (Main).png,Aston Machan (Race).png,Aston Machan (Proto).png,Aston Machan (Stage).png,マーちゃん (Machan),2004-03-05,Middle School,Ritto,North Flight,152,B86 W55 H80,22cm,Zero Carrots,マーちゃん (Machan),トレーナーさん (Trainer-san),[[Honoka Inoue]],Aston Machan (Icon).png,CF4436,E1DCCB,IRL:Aston Machan,🧸,Party Dash:Aston Machan,,
Bamboo_Memory,1053,バンブーメモリー,,banbuu memorii,青竹回憶,,,,Embodiment of Dreams,Bamboo Memory (Main).png,Bamboo Memory (Race).png,Bamboo Memory (Proto).png,Bamboo Memory (Stage).png,,1985-05-14,High School,Ritto,Gold City,157,B77 W57 H81,"L22.5cm, R23cm",No change,あたし (Atashi),トレーナーさん (Trainer-san),[[Kotomi Aihara]],Bamboo Memory (Icon).png,366965,2D2926,IRL:Bamboo Memory,,,,
Believe,1095,ビリーヴ,,Biriibu,信念,,,,,Believe (Main).png,Believe (Race).png,,Believe (Stage).png,,2021-04-26,,,,156,B72 W54 H77,,,,,[[Misaki Akiyama]],Believe (Icon).png,4baece,c63663,IRL:Believe,,,,
Biko_Pegasus,1054,ビコーペガサス,,bikou pegasasu,微光飛駒,,必高快馬,,Justice Biko,Biko Pegasus (Main).png,Biko Pegasus (Race).png,Biko Pegasus (Proto).png,Biko Pegasus (Stage).png,ビコー (Biko),1991-02-08,Middle School,Ritto,Hishi Akebono,144,B72 W54 H75,19.5cm,Slight increase (I've been eating lots and getting bigger!),アタシ (Atashi),トレーナー (Trainer),[[Aimi Tanaka]],Biko Pegasus (Icon).png,E7396F,D162B8,IRL:Biko Pegasus,🦸,,,
Biwa_Hayahide,1023,ビワハヤヒデ,,biwa hayahide,琵琶晨光,,,,Victory Investigator,Biwa Hayahide (Main).png,Biwa Hayahide (Race).png,Biwa Hayahide (Proto).png,Biwa Hayahide (Stage).png,ハヤヒデ (Hayahide)<br>姉貴（ブライアン） (Aneki (Brian)),1990-03-10,High School,Ritto,T.M. Opera O,171,B93 W61 H88,25cm,No change,私 (Watashi),トレーナー君 (Trainer-kun),[[Yui Kondo]],Biwa Hayahide (Icon).png,B03D81,E776B6,IRL:Biwa Hayahide,,,,
Blast_Onepiece,1128,ブラストワンピース,,Burasuto Wanpiisu,防爆裝束,,,,,Blast Onepiece (Main).png,Blast Onepiece (Race).png,,,,2021-04-02,,,,174,B93 W63 H90,,,,,[[Azusa Shizuki]],Blast Onepiece (Icon).png,009CBD,0CB85F,IRL:Blast Onepiece,,,,
